execution time,account,direction, qty ,security code,price,currency
9:30:50 AM,10047745,Buy,273,ABC US,28.05,USD
9:31:13 AM,10047745,Buy,262,ABC US,28.25,USD
9:31:20 AM,10047745,Sell_long,340,ABC US,28.43,USD
9:31:26 AM,10047745,Sell_short,209,ABC US,28.94,USD
9:31:29 AM,10047745,Buy,274,ABC US,28.37,USD
9:31:58 AM,10047745,Sell_short,487,ABC US,28.23,USD
9:32:30 AM,10047745,Sell_short,401,ABC US,28.42,USD
9:32:56 AM,10047745,Sell_short,380,ABC US,28.48,USD
9:33:02 AM,10047745,Sell_short,114,ABC US,28.2,USD
9:33:10 AM,10047745,Buy,456,ABC US,28.6,USD
9:33:32 AM,10047745,Sell_short,209,ABC US,28.53,USD
9:33:50 AM,10047745,Buy,230,ABC US,28.3,USD
9:34:03 AM,10047745,Buy,267,ABC US,28.36,USD
9:34:40 AM,10047745,Buy,388,ABC US,28.36,USD
9:34:46 AM,10047745,Sell_short,391,ABC US,28.39,USD
9:34:52 AM,10047745,Buy,224,ABC US,28.04,USD
9:35:01 AM,10047745,Sell_short,174,ABC US,28.12,USD
9:35:14 AM,10047745,Buy,413,ABC US,28.23,USD
9:36:00 AM,10047745,Buy,268,ABC US,28.74,USD
9:36:18 AM,10047745,Buy,148,ABC US,28.59,USD
9:36:20 AM,10047745,Sell_long,290,ABC US,28.52,USD
9:36:39 AM,10047745,Buy,491,ABC US,28.02,USD
9:37:10 AM,10047745,Buy,232,ABC US,28.7,USD
9:37:35 AM,10047745,Sell_long,460,ABC US,28.06,USD
9:37:40 AM,10047745,Buy,327,ABC US,28.01,USD
9:37:41 AM,10047745,Buy,486,ABC US,28.7,USD
9:37:43 AM,10047745,Buy,295,ABC US,28.26,USD
9:37:57 AM,10047745,Buy,451,ABC US,28.82,USD
9:38:24 AM,10047745,Sell_long,262,ABC US,28.37,USD
9:38:24 AM,10047745,Sell_long,389,ABC US,28.81,USD
9:38:48 AM,10047745,Sell_long,377,ABC US,28.95,USD
9:39:32 AM,10047745,Sell_long,161,ABC US,28.18,USD
9:39:33 AM,10047745,Sell_long,356,ABC US,28.06,USD
9:39:37 AM,10047745,Sell_long,370,ABC US,28.83,USD
9:39:37 AM,10047745,Buy,363,ABC US,28.3,USD
9:39:42 AM,10047745,Sell_short,482,ABC US,28.98,USD
9:39:59 AM,10047745,Sell_short,236,ABC US,28.79,USD
9:41:05 AM,10047745,Buy,434,ABC US,28.7,USD
